,nta_code,MONTH,count
256,BK85,5,1037
257,BK85,6,1114
258,BK88,1,1743
259,BK88,2,2373
260,BK88,3,2735
261,BK88,4,2383
262,BK88,5,2873
263,BK88,6,3653
264,BK90,1,15962
265,BK90,2,16327
266,BK90,3,16159
267,BK90,4,20282
268,BK90,5,26643
269,BK90,6,23267
270,BK91,1,1417
271,BK91,2,1666
272,BK91,3,1926
273,BK91,4,1908
274,BK91,5,2747
275,BK91,6,2711
276,BK93,1,247
277,BK93,2,329
278,BK93,3,395
279,BK93,4,384
280,BK93,5,434
281,BK93,6,559
282,BK95,1,1051
283,BK95,2,1333
284,BK95,3,1686
285,BK95,4,1705
286,BK95,5,2308
287,BK95,6,2253
288,BK96,1,1394
289,BK96,2,1733
290,BK96,3,2334
291,BK96,4,2382
292,BK96,5,2957
293,BK96,6,3105
294,BK99,1,771
295,BK99,2,910
296,BK99,3,909
297,BK99,4,1644
298,BK99,5,2049
299,BK99,6,1872
300,BX01,1,422
301,BX01,2,590
302,BX01,3,631
303,BX01,4,683
304,BX01,5,1048
305,BX01,6,920
306,BX03,1,307
307,BX03,2,459
308,BX03,3,493
309,BX03,4,473
310,BX03,5,662
311,BX03,6,677
312,BX05,1,609
313,BX05,2,963
314,BX05,3,1013
315,BX05,4,967
316,BX05,5,1578
317,BX05,6,1449
318,BX06,1,937
319,BX06,2,1165
320,BX06,3,1370
321,BX06,4,1538
322,BX06,5,2451
323,BX06,6,1692
324,BX07,1,387
325,BX07,2,522
326,BX07,3,561
327,BX07,4,635
328,BX07,5,1006
329,BX07,6,920
330,BX08,1,334
331,BX08,2,487
332,BX08,3,543
333,BX08,4,560
334,BX08,5,892
335,BX08,6,789
336,BX09,1,567
337,BX09,2,687
338,BX09,3,834
339,BX09,4,786
340,BX09,5,1192
341,BX09,6,1045
342,BX10,1,379
343,BX10,2,463
344,BX10,3,537
345,BX10,4,610
346,BX10,5,970
347,BX10,6,901
348,BX13,1,435
349,BX13,2,573
350,BX13,3,613
351,BX13,4,568
352,BX13,5,959
353,BX13,6,930
354,BX14,1,890
355,BX14,2,1010
356,BX14,3,1214
357,BX14,4,1209
358,BX14,5,2041
359,BX14,6,1864
360,BX17,1,509
361,BX17,2,711
362,BX17,3,799
363,BX17,4,802
364,BX17,5,1315
365,BX17,6,1155
366,BX22,1,1912
367,BX22,2,2334
368,BX22,3,2040
369,BX22,4,2855
370,BX22,5,3626
371,BX22,6,3070
372,BX26,1,551
373,BX26,2,639
374,BX26,3,806
375,BX26,4,1232
376,BX26,5,1470
377,BX26,6,1505
378,BX27,1,335
379,BX27,2,427
380,BX27,3,469
381,BX27,4,441
382,BX27,5,669
383,BX27,6,710
384,BX28,1,1017
385,BX28,2,1412
386,BX28,3,1506
387,BX28,4,1439
388,BX28,5,2428
389,BX28,6,2044
390,BX29,1,1655
391,BX29,2,2157
392,BX29,3,2317
393,BX29,4,2355
394,BX29,5,3440
395,BX29,6,3379
396,BX30,1,419
397,BX30,2,625
398,BX30,3,747
399,BX30,4,605
400,BX30,5,950
401,BX30,6,869
402,BX31,1,359
403,BX31,2,486
404,BX31,3,571
405,BX31,4,544
406,BX31,5,864
407,BX31,6,860
408,BX33,1,253
409,BX33,2,368
410,BX33,3,436
411,BX33,4,408
412,BX33,5,714
413,BX33,6,623
414,BX34,1,579
415,BX34,2,774
416,BX34,3,895
417,BX34,4,857
418,BX34,5,1402
419,BX34,6,1394
420,BX35,1,512
421,BX35,2,749
422,BX35,3,819
423,BX35,4,814
424,BX35,5,1324
425,BX35,6,1269
426,BX36,1,602
427,BX36,2,890
428,BX36,3,983
429,BX36,4,872
430,BX36,5,1507
431,BX36,6,1300
432,BX37,1,829
433,BX37,2,912
434,BX37,3,1066
435,BX37,4,1120
436,BX37,5,1698
437,BX37,6,1636
438,BX39,1,1233
439,BX39,2,1588
440,BX39,3,1747
441,BX39,4,1729
442,BX39,5,2718
443,BX39,6,2567
444,BX40,1,256
445,BX40,2,318
446,BX40,3,370
447,BX40,4,340
448,BX40,5,604
449,BX40,6,625
450,BX41,1,548
451,BX41,2,700
452,BX41,3,852
453,BX41,4,855
454,BX41,5,1426
455,BX41,6,1300
456,BX43,1,799
457,BX43,2,907
458,BX43,3,1014
459,BX43,4,1026
460,BX43,5,1563
461,BX43,6,1561
462,BX44,1,493
463,BX44,2,653
464,BX44,3,747
465,BX44,4,703
466,BX44,5,1243
467,BX44,6,1140
468,BX46,1,420
469,BX46,2,468
470,BX46,3,649
471,BX46,4,603
472,BX46,5,970
473,BX46,6,889
474,BX49,1,942
475,BX49,2,1049
476,BX49,3,1262
477,BX49,4,1593
478,BX49,5,2370
479,BX49,6,2292
480,BX52,1,511
481,BX52,2,596
482,BX52,3,619
483,BX52,4,608
484,BX52,5,1100
485,BX52,6,1020
486,BX55,1,361
487,BX55,2,438
488,BX55,3,493
489,BX55,4,545
490,BX55,5,880
491,BX55,6,694
492,BX59,1,470
493,BX59,2,588
494,BX59,3,669
495,BX59,4,679
496,BX59,5,986
497,BX59,6,968
498,BX62,1,412
499,BX62,2,488
500,BX62,3,510
501,BX62,4,575
502,BX62,5,793
503,BX62,6,810
504,BX63,1,1042
505,BX63,2,1126
506,BX63,3,1556
507,BX63,4,2544
508,BX63,5,3576
509,BX63,6,3537
510,BX75,1,274
511,BX75,2,373
512,BX75,3,470
513,BX75,4,441
514,BX75,5,618
515,BX75,6,599
516,MN01,1,2002
517,MN01,2,2644
518,MN01,3,2851
519,MN01,4,2993
520,MN01,5,4472
521,MN01,6,4295
522,MN03,1,16899
523,MN03,2,19135
524,MN03,3,19531
525,MN03,4,20234
526,MN03,5,25883
527,MN03,6,26096
528,MN04,1,4195
529,MN04,2,4984
530,MN04,3,5191
531,MN04,4,5358
532,MN04,5,7397
533,MN04,6,7165
534,MN06,1,2367
535,MN06,2,2586
536,MN06,3,2794
537,MN06,4,2824
538,MN06,5,3686
539,MN06,6,3545
540,MN09,1,6168
541,MN09,2,8670
542,MN09,3,9093
543,MN09,4,10176
544,MN09,5,12943
545,MN09,6,9425
546,MN12,1,58661
547,MN12,2,64910
548,MN12,3,61656
549,MN12,4,63480
550,MN12,5,74904
551,MN12,6,78405
552,MN13,1,188688
553,MN13,2,238166
554,MN13,3,219585
555,MN13,4,217702
556,MN13,5,251677
557,MN13,6,264447
558,MN14,1,45420
559,MN14,2,52014
560,MN14,3,47621
561,MN14,4,49103
562,MN14,5,57067
563,MN14,6,60497
564,MN15,1,57046
565,MN15,2,62456
566,MN15,3,65314
567,MN15,4,63620
568,MN15,5,74215
569,MN15,6,83668
570,MN17,1,248589
571,MN17,2,306972
572,MN17,3,305258
573,MN17,4,289883
574,MN17,5,315797
575,MN17,6,355973
576,MN19,1,44826
577,MN19,2,50535
578,MN19,3,51121
579,MN19,4,49410
580,MN19,5,56182
581,MN19,6,63039
582,MN20,1,59201
583,MN20,2,66656
584,MN20,3,66628
585,MN20,4,64163
586,MN20,5,74730
587,MN20,6,82709
588,MN21,1,35040
589,MN21,2,41390
590,MN21,3,40737
591,MN21,4,40301
592,MN21,5,46971
593,MN21,6,47060
594,MN22,1,71695
595,MN22,2,79358
596,MN22,3,78465
597,MN22,4,79175
598,MN22,5,95011
599,MN22,6,93206
600,MN23,1,147254
601,MN23,2,178534
602,MN23,3,166233
603,MN23,4,167789
604,MN23,5,193682
605,MN23,6,190787
606,MN24,1,150676
607,MN24,2,181981
608,MN24,3,166750
609,MN24,4,165732
610,MN24,5,179744
611,MN24,6,189015
612,MN25,1,64761
613,MN25,2,74308
614,MN25,3,74839
615,MN25,4,77663
616,MN25,5,86355
617,MN25,6,95708
618,MN27,1,17178
619,MN27,2,17651
620,MN27,3,18013
621,MN27,4,18645
622,MN27,5,22661
623,MN27,6,23750
624,MN28,1,36112
625,MN28,2,40509
626,MN28,3,40603
627,MN28,4,40220
628,MN28,5,47612
629,MN28,6,47749
630,MN31,1,50228
631,MN31,2,53649
632,MN31,3,52610
633,MN31,4,51289
634,MN31,5,57747
635,MN31,6,62619
636,MN32,1,36455
637,MN32,2,39288
638,MN32,3,37644
639,MN32,4,38082
640,MN32,5,43680
641,MN32,6,46819
642,MN33,1,6905
643,MN33,2,7756
644,MN33,3,8148
645,MN33,4,8210
646,MN33,5,9974
647,MN33,6,10551
648,MN34,1,6161
649,MN34,2,6933
650,MN34,3,7579
651,MN34,4,7701
652,MN34,5,9737
653,MN34,6,12173
654,MN35,1,3847
655,MN35,2,5051
656,MN35,3,5677
657,MN35,4,5423
658,MN35,5,8036
659,MN35,6,7847
660,MN36,1,5911
661,MN36,2,7214
662,MN36,3,7791
663,MN36,4,7799
664,MN36,5,10428
665,MN36,6,10613
666,MN40,1,76994
667,MN40,2,87467
668,MN40,3,79779
669,MN40,4,82175
670,MN40,5,93199
671,MN40,6,94244
672,MN50,1,10613
673,MN50,2,11452
674,MN50,3,11532
675,MN50,4,11934
676,MN50,5,13639
677,MN50,6,13949
678,MN99,1,5983
679,MN99,2,6489
680,MN99,3,6675
681,MN99,4,8040
682,MN99,5,10218
683,MN99,6,10584
684,NJ01,1,11
685,NJ01,2,14
686,NJ01,3,14
687,NJ01,4,10
688,NJ01,5,27
689,NJ01,6,29
690,QN01,1,356
691,QN01,2,454
692,QN01,3,626
693,QN01,4,621
694,QN01,5,948
695,QN01,6,917
696,QN02,1,304
697,QN02,2,486
698,QN02,3,542
699,QN02,4,502
700,QN02,5,754
701,QN02,6,744
702,QN03,1,378
703,QN03,2,478
704,QN03,3,638
705,QN03,4,612
706,QN03,5,854
707,QN03,6,1000
708,QN05,1,253
709,QN05,2,311
